#格式如下（编码一般须以“/”开头）：
#   编码	候选词1 候选词2 候选词3
#在候选词中：支持使用 &nbsp 来定义空格，<br>支持使用 <br> 来定义换行，而正常的空格被用于分词

# 宇码·卿云输入法的字根口诀
/za	{两点二}(èr)，<br>甫(fǔ)用木干(gàn)㐄(kuà)[飞]ₑ甲
/zb	马舌囗(wéi)忄(xīn)穴匕(bǐ)<化>
/zc	讠(yán)示丁下乂(yì)自馬<br>……咼(guō)來
/zd	高[赢](yíng)见白厶(mǒu)，<br>卅(sà)又[弄](nòng)艹(cǎo)癶(bō)
/ze	{左框}(kàng)亻(rén)儿門(mén)里鬥(dòu)，<br>卩(jié)㔾(jié)且𬺰(mù)文也丑<br>……[亞](yà)𠁁(dòu)乜(miē)
/zf	一扌(shǒu)九贝非川<巢>
/zg	隶(lì)廴(yǐn)七车竹，<br>尚見(jiàn)禾皮毛
/zh	土士寸电走，<br>耂(lǎo)夭(yāo)欠𠂆(yì)鹿[素](sù)骨<br>……[穀]ᵥ(gǔ)頁(xié)
/zi	臼(jiù)方入宀(mián)勹(bāo)，<br>[爲](wèi)丶(diǎn)申艮(gèn)小气虫
/zj	日早曰凵(kǎn)山，<br>千刀[纠](jiū)幺(yāo)屮(chè)，<br>辛卯(mǎo)[卬](yǎng)ᵥ臣弓<br>……𦣞(yí)丱(guàn)[黽]ᵥ(měng)
/zk	口ᵥ面而手戈，<br>戊(wù)弋(yì)𫝀(wǔ)豕(shǐ)长(cháng)习之<br>……〇(líng)
/zl	{两点丷}(bā)，<br>予子斤䒑(cǎo)[畏]ᵥ(wèi)[病](bìng)了(liǎo)，<br>{竖}ₛ(shù)耳(ěr)辰{鼠}ᵥ(shǔ)世西酉(yǒu)<br>……貝(bèi)
/zm	鬼甶(fú)正火灬(biāo)，<br>八矢𢆉(rěn)羊页(xié)，<br>尢(wāng)髟(biāo)[傣](dǎi)大夫<br>……長(cháng)
/zn	心工壬(rén)瓦不止氵(shuǐ)<br>……水齒(chǐ)
/zo	{顺折乙}(yǐ)上巳(sì)，<br>古巴冖(mì)舟亍(chù)，<br>丌(jī)兀向隹(cuī)[将](qiāng)纟(sī)刂(dāo)<br>……[囟]ᵥ(xìn)[奐]ᵥ(huàn)飛魚
/zp	阝(fù)冊(cè)革豸(zhì)生牛<告>
/zq	犬户尤石彑(jì)，<br>丰冂(jiōng)烏(wū)鳥(niǎo)母
/zr	十门亥其亠(tóu)，<br>巾言乃[介](jiè)<赤>
/zs	殳(shū)衤(yī)合目几(jǐ)，<br>𧘇(yī)雨力丂(kǎo)田<br>……[曹]ᵥ風僉(qiān)
/zt	{逆折乚}(yǐ)尸虎，<br>片爿(qiáng)攵(pū)金鱼米匚(fāng)<br>……鹵(lǔ)
/zu	身糸(sī)卜(bǔ)饣(shí)亡，<br>人由广辶(chuò)至<br>……[乍]ᵥ[龍]ᵥ
/zv	麻瓜食业曲，<br>丆(hǎn)厂(chǎng)禺(yú)彐(jì)钅(jīn)爪壴(zhù)
/zw	𠂤(duī)彡(shān)丿(piě)彳(chì)戶，<br>己(jǐ)已(yǐ)未末女立缶(fǒu)
/zx	𠂇(zuǒ)牙乌鸟黑，<br>足皿(mǐn)罒(wǎng)車<惠>
/zy	三王亦夕月
/zz	①字根最少②结构完整③符合笔顺④散连交断⑤字根取大(非变形取大|不对称取大,向前取大)

# 宇码·卿云输入法的不成字字根
os_	{纟上}
lv_	{畏下}
ak_	{奉下}
rj_	{介下}
gz_	{⺮右}
jr_	{横日}
mr_	{南心}
qj_	{冂丶}
ix_	{兴上}
gz_	{乞上}
uv_	{乍下}
em_	{于下}
jv_	{乐上}
ws_	{二撇}
ae_	{飞右}
kw_	{五下}
yv_	{炙上}
ei_	{亞下}
dg_	{京上}
dg_	{亮上}
si_	{衣下}
ij_	{臼分}
jv_	{卬左}
vj_	{反彐}
ee_	{荒下}
ov_	{囟框}
eq_	{具上}
mf_	{卑上}
os_	{丄丶}
iw_	{爲下}
dc_	{冓上}
sv_	{曹上}
xc_	{專上}
yv_	{祭上}
ks_	{豕下}
jr_	{曾中}
jv_	{黽中}
qj_	{雋下}
lv_	{鼠下}
uv_	{龍右}
dg_	{襄上}
ej_	{节下}
xn_	{鸟上}
jj_	{发左}
ov_	{奐上}
hs_	{穀框}
qn_	{鳥上}
dc_	{華中}
ox_	{向框}
ix_	{步下}
wd_	{阜上}
ts_	{眉上}
ji_	{姬右}
di_	{贏框}
qm_	{母框}
wc_	{微上}
hl_	{鹿上}
ji_	{弬右}
cm_	{馬上}
sh_	{龠上}
th_	{虍上}
jv_	{卯左}
qw_	{烏上}
qj_	{互中}
mg_	{鬼左}
sh_	{僉上}
ei_	{亞中}
jv_	{齊右}
