#在注释中：支持使用 &nbsp 来定义空格，支持使用 <br> 来定义换行，而正常的空格被用于分词

# 宇码·卿云输入法的字根口诀 (注释)
{两点二}(èr)，<br>甫(fǔ)用木干(gàn)㐄(kuà)[飞]ₑ甲	〔注〕(关二爷)仅用一根木棍就穿过了刀剑的夹击
马舌囗(wéi)忄(xīn)穴匕(bǐ)<化>	〔注〕神马用舌头围绕胸口(舔了一下)，<br>断在伤口里的匕首(立马就)化了
讠(yán)示丁下乂(yì)自馬<br>……咼(guō)來	〔注〕口头示意手下剪断自己马的缰绳
高[赢](yíng)见白厶(mǒu)，<br>卅(sà)又[弄](nòng)艹(cǎo)癶(bō)	〔注〕“高赢”去拜访白某，<br>(看到年仅)三十岁(的他)又在田间种地(除草、踩地稳土)
{左框}(kàng)亻(rén)儿門(mén)里鬥(dòu)，<br>卩(jié)㔾(jié)且𬺰(mù)文也丑<br>……[亞](yà)𠁁(dòu)乜(miē)	〔注〕“左框”的(几个)儿子经常在家里打斗，<br>逢年过节时姑且能一起种树、(写对联)尽管字也都写得很丑
一扌(shǒu)九贝非川<巢>	〔注〕(从中能)一手摸出九个贝壳的一定不是河流中的洞穴(而是海边的洞穴)
隶(lì)廴(yǐn)七车竹，<br>尚見(jiàn)禾皮毛	〔注〕那批奴隶拉着七车竹简(赶着长路)，<br>(刚刚)才看见拉的是谷皮
土士寸电走，<br>耂(lǎo)夭(yāo)欠𠂆(yì)鹿[素](sù)骨<br>……[穀]ᵥ(gǔ)頁(xié)	〔注〕当地的官员(晚上带着随从)拿着便携手电筒来到(案发现场)，<br>看到一只老妖饥饿地拉扯着鹿的白骨
臼(jiù)方入宀(mián)勹(bāo)，<br>[爲](wèi)丶(diǎn)申艮(gèn)小气虫	〔注〕“舅舅”才刚进入蒙古包(想要休息)，<br>小气虫(侄子)就为了一点小事要求“舅舅”回头(出来陪他玩)
日早曰凵(kǎn)山，<br>千刀[纠](jiū)幺(yāo)屮(chè)，<br>辛卯(mǎo)[卬](yǎng)ᵥ臣弓<br>……𦣞(yí)丱(guàn)[黽]ᵥ(měng)	〔注〕清晨(大伙)说跨到山的那头(去采野菜)，<br>上千把镰刀(在忙碌地)割着灰灰菜，<br>“辛卯”也时不时仰头低头(以缓解)腰酸
口ᵥ面而手戈，<br>戊(wù)弋(yì)𫝀(wǔ)豕(shǐ)长(cháng)习之<br>……〇(líng)	〔注〕(两人)面对面起了口角而动手打起来，<br>(因为其中一人炫耀说)“我五次射猎收获五头野猪你要多跟我学着点”
{两点丷}(bā)，<br>予子斤䒑(cǎo)[畏]ᵥ(wèi)[病](bìng)了(liǎo)，<br>{竖}ₛ(shù)耳(ěr)辰{鼠}ᵥ(shǔ)世西酉(yǒu)<br>……貝(bèi)	〔注〕(晚上)给儿子喝了用一斤药草熬的药怪病(突然)就好了，<br>(第二天)清晨(就看到他活泼地)竖着耳朵，<br>(在放有)窖藏三十年洋酒(的地窖里)听着老鼠的动静
鬼甶(fú)正火灬(biāo)，<br>八矢𢆉(rěn)羊页(xié)，<br>尢(wāng)髟(biāo)[傣](dǎi)大夫<br>……長(cháng)	〔注〕(人们)正戴着鬼面具就着大火烤着羊肉，<br>随即看到接连八支箭射中(挂起的)羊头，<br>没想到(拥有这么精湛射技的)竟是一位(走路跛脚的)长发披肩的傣族大夫
心工壬(rén)瓦不止氵(shuǐ)<br>……水齒(chǐ)	〔注〕用心加工的九片屋瓦却不防水
{顺折乙}(yǐ)上巳(sì)，<br>古巴冖(mì)舟亍(chù)，<br>丌(jī)兀向隹(cuī)[将](qiāng)纟(sī)刂(dāo)<br>……[囟]ᵥ(xìn)[奐]ᵥ(huàn)飛魚	〔注〕一艘带蓬的船从古巴出发，<br>(原来是)一个姓“丌”的光头驶向海中的高山，<br>请求(某位高人打造)一把(锋利的)能“吹丝断发”的刀
阝(fù)冊(cè)革豸(zhì)生牛<告>	〔注〕(这本来自)曲阜的书上说，<br>(可以通过)供上剔除了皮毛的豺狼和鲜宰的牛来向神灵祈祷(以消除瘟疫)
犬户尤石彑(jì)，<br>丰冂(jiōng)烏(wū)鳥(niǎo)母	〔注〕城里的老百姓尤其喜欢把猪头放石板上晾晒，<br>(这吸引了)许多来自郊外的母乌鸦
十门亥其亠(tóu)，<br>巾言乃[介](jiè)<赤>	〔注〕十户人家(全家老少)都身首异处，<br>一位戴着头巾的(目击者)妇女说是一帮披着红色铠甲的士兵干的
殳(shū)衤(yī)合目几(jǐ)，<br>𧘇(yī)雨力丂(kǎo)田<br>……[曹]ᵥ風僉(qiān)	〔注〕才脱掉衣服合上眼才几分钟，<br>(就不得不起床)冒着雨杵着拐杖吃力地走在田间(检查农作物)
{逆折乚}(yǐ)尸虎，<br>片爿(qiáng)攵(pū)金鱼米匚(fāng)<br>……鹵(lǔ)	〔注〕一片墙下(有商贩在)敲打着金属乐器叫卖着框里的鱼和米
身糸(sī)卜(bǔ)饣(shí)亡，<br>人由广辶(chuò)至<br>……[乍]ᵥ[龍]ᵥ	〔注〕(看到)一位身穿丝绸的人(在请算命先生)卜算生死，<br>周围的人群都因此聚集了过来
麻瓜食业曲，<br>丆(hǎn)厂(chǎng)禺(yú)彐(jì)钅(jīn)爪壴(zhù)	〔注〕麻瓜食品行业(的宣传)曲，<br>是由一个悬崖边工厂用挂猪头的铁钩加鼓点(意外地)协奏出来的
𠂤(duī)彡(shān)丿(piě)彳(chì)戶，<br>己(jǐ)已(yǐ)未末女立缶(fǒu)	〔注〕军营里(急促的)鼓声像“丿”一样穿透到(周围的)村庄人家里，<br>(村庄里)妇女们也赶在天黑前(忙碌地)制作着陶器
𠂇(zuǒ)牙乌鸟黑，<br>足皿(mǐn)罒(wǎng)車<惠>	〔注〕左边的牙痛(预示着)运气像乌鸦一样黑(背)，<br>脚踩到碗(预示着)能收获多如一卡车的好处
三王亦夕月	〔注〕三个国王也可以像太阳和月亮一样共存


# 宇码拆分例字
一	〔例〕是但与来后或再更一元
丁	〔例〕啊可打哥歌阿灯顶骑停
丂	〔例〕与号写考烤亏跨夸與兮
七	〔例〕低练纯七纸陈吨切烧东
丄	〔例〕贵與遣遗匮円溃淸貴靑
丅	〔例〕哥歌钙沔丐眄彁丅麪鎶
丆	〔例〕夏百嘎宿陌寡優厦榎佰
勹	〔例〕的万跑约包均喝狗够药
ナ	〔例〕在有爱若随左贼存右碳
乀	〔例〕及级极尽吸夜液仗尺杖
三	〔例〕三段仨承叁闫椴锻缎鍛
上	〔例〕上让卡叔寂咔椒督淑戚
下	〔例〕下虾吓卞雫峠汴抃苄挊
丌	〔例〕鼻齁悪擤髙畀亜痹丌箅
不	〔例〕还不坏杯环歪否呸怀胚
乚	〔例〕以越喝乱甩孔断继扎吼
乛	〔例〕那买书成卖读练词含琴
㇉	〔例〕转传专砖钙姊丐吳呉笫
丑	〔例〕丑扭妞羞钮纽狃衄杻紐
刀	〔例〕分超刀粉招份解切照初
丶	〔例〕的为以书低太发约往球
二	〔例〕会二讲某进些转层云假
且	〔例〕且组姐粗县租叠助狙宜
世	〔例〕碟世蝶泄葉谍牒枼幉揲
卅	〔例〕带滞帯卅丗䙊㛿䗖𫶇𠎰
斤	〔例〕所新听近斤兵折斯拆撕
