#在候选词中：支持使用 &nbsp 来定义空格，支持使用 <br> 来定义换行，而正常的空格被用于分词

# 单位换算
英寸	0.0254米
英尺	0.3048米
码	3英尺 36英寸 0.9144米
英里	1609.344米 0.87海里 5.28英尺 63.36英寸
海里	1.852km 1.15英里 6.076英尺 72.913英寸
升	0.001m³ 1.06夸脱(美) 0.88夸脱(英) 2.11品脱(美) 1.76品脱(英)
加仑	3.7854升(美) 4.54609升(英)
公倾	1万m² 0.92足球场 2.47亩
亩	4046.856m² 0.37足球场 0.4公倾
节	1.852kph 0.51mps
马赫	1225.1kph 340.3mps 661.5节
盎司	≈28.35g ≈31.10g ≈28.41mL ≈29.57mL 30mL 34.8㎛
磅	0.454kg	16盎司
卡	4.184焦
马力	0.7457kW
巴	0.987大气压 100kPa 750.1875mmHg
气压	1.01325bar 101.325kPa 760.1275mmHg
血压 汞柱	0.001333bar 0.001316大气压 0.133kPa
角度	0.017453rad 1.111111%坡比
弧度	57.29578° 63.66198%坡比
坡比	0.9° 0.02rad
两	50g 24铢 4锱
铢	1/24两 1/6锱
锱	6铢 1/4两
足球场	7140m²
头发	0.1mm
游泳池	1890m³ 长(50m)宽(21m)深(≥1.8m)
广岛	小男孩

# 常用化学式
硫酸	H₂SO₄
氯酸 盐酸	HCl
硝酸	HNO₃
干冰	CO₂
食盐	NaCl
石灰	CaO₂
酒精 乙醇	C₂H₅OH
胆矾 蓝矾	CuSO₄・5H₂O
火碱 硗碱	NaOH
水垢	CaCO₃
纯碱 苏打	Na₂CO₃
甲烷	CH₄
乙烷	C₂H₆
乙烯	C₂H₄
乙炔	C₂H₂
甘油三酯	CH₂COOR-CHCOOR'-CH₂COOR"
