的	〔白_勹_丶〕
一	〔一〕
是	〔日_一_〕
了	〔了〕
不	〔不〕
在	〔_丨_土〕
人	〔人〕
我	〔手_戈〕
他	〔亻_也〕
有	〔_〕
这	〔辶_文〕
中	〔中〕
国	〔囗_王_丶〕
来	〔二_氺〕
个	〔人_丨〕
上	〔_一〕
大	〔大〕
和	〔禾_口〕
们	〔亻_门〕
为	〔__丶〕
到	〔至_刂〕
说	〔讠_丷_口_儿〕
地	〔土_也〕
会	〔人_二_厶〕
也	〔也〕
要	〔覀_女〕
出	〔屮_凵〕
她	〔女_也〕
你	〔亻_⺈_小〕
着	〔⺶_目〕
以	〔_丶_人〕
子	〔子〕
时	〔日_寸〕
年	〔_〕
就	〔亠_口_小_尤〕
得	〔彳_日_一_寸〕
道	〔辶__自〕
对	〔又_寸〕
那	〔_二_丿_阝〕
生	〔生〕
家	〔宀_豕〕
下	〔一_卜〕
发	〔_丿_又_丶〕
可	〔丁_口〕
里	〔日_土〕
作	〔亻__〕
去	〔土_厶〕
过	〔辶_寸〕
自	〔自〕
多	〔夕_夕〕
好	〔女_子〕
行	〔行〕
之	〔之〕
而	〔而〕
么	〔_厶〕
经	〔纟__工〕
日	〔日〕
于	〔一_〕
小	〔小〕
能	〔厶__匕_匕〕
成	〔戊_〕
后	〔⺁_一_口〕
看	〔_目〕
事	〔_口_〕
天	〔一_大〕
用	〔冂_〕
心	〔心〕
民	〔_〕
开	〔一_廾〕
方	〔方〕
还	〔辶_不〕
然	〔_大_丶_灬〕
面	〔丆_囗_〢_二〕
进	〔辶_二_〕
学	〔_冖_子〕
起	〔走_己〕
法	〔氵_土_厶〕
都	〔者_阝〕
工	〔工〕
同	〔同〕
没	〔氵_殳〕
业	〔业〕
全	〔人_王〕
本	〔木_一〕
现	〔王_见〕
前	〔__刂〕
实	〔宀__大〕
主	〔丶_王〕
想	〔木_目_心〕
文	〔文〕
长	〔长〕
理	〔王_日_土〕
部	〔立_口_阝〕
分	〔八_刀〕
把	〔扌_巴〕
动	〔二_厶_力〕
所	〔⺁__斤〕
新	〔立_木_斤〕
定	〔定〕
只	〔口_八〕
点	〔_口_灬〕
样	〔木_羊〕
两	〔一_冂_人_人〕
者	〔者〕
又	〔又〕
当	〔⺌_彐〕
从	〔人_人〕
如	〔女_口〕
与	〔一__一〕
高	〔亠_口_冋〕
种	〔禾_中〕
些	〔止_匕_二〕
意	〔立_日_心〕
关	〔_大〕
十	〔十〕
见	〔见〕
已	〔已〕
月	〔月〕
问	〔门_口〕
力	〔力〕
头	〔_大〕
公	〔八_厶〕
重	〔千_日_二〕
无	〔一_尢〕
手	〔手〕
三	〔三〕
明	〔日_月〕
情	〔忄_龶_〕
等	〔⺮_土_寸〕
政	〔一_止_攵〕
其	〔其〕
报	〔扌_卩_又〕
外	〔夕_卜〕
知	〔矢_口〕
老	〔耂_匕〕
话	〔讠_舌〕
但	〔亻_日_一〕
市	〔亠_巾〕
加	〔力_口〕
儿	〔儿〕
建	〔廴_肀_二〕
正	〔一_止〕
展	〔尸_艹_〕
回	〔囗_口〕
因	〔因〕
什	〔亻_十〕
合	〔人_一_口〕
此	〔止_匕〕
向	〔_口〕
产	〔立_丿〕
将	〔丬_夕_寸〕
表	〔龶_〕
间	〔门_日〕
二	〔二〕
机	〔木_几〕
使	〔亻_一_口_乂〕
